Pais_traduzido,cod_pais,pib_dolar_2012,pib_dolar_2016,pop_total_2012,pop_total_2016,gastos_edu_pib_perc_2012,gastos_edu_pib_perc_2016
Senegal,SEN,17660870411.5235,19040312333.1864,13310495.0,15034521.0,4.77698993682861,5.11309003829956
Sérvia,SRB,45103269969.4112,42225495909.5633,7201497.0,7058322.0,3.84768438339233,3.63470005989075
Seicheles,SYC,1089407839.19709,1568513348.14463,88303.0,94677.0,2.54216003417969,4.0213098526001
Serra Leoa,SLE,5927684219.15278,6042615859.61074,6551080.0,7205328.0,2.88159847259521,2.91133999824524
Singapura,SGP,295092888076.589,319053943915.005,5312437.0,5607283.0,3.07085990905762,2.87133049964905
Eslováquia,SVK,94724394278.052,90347173228.6356,5407579.0,5430798.0,3.8590099811554,3.90078997612
Eslovênia,SVN,46167053954.3367,44290685824.0682,2057159.0,2065042.0,5.62023019790649,4.79266977310181
África do Sul,ZAF,434400545085.811,323585509674.481,53782567.0,57259551.0,5.52323007583618,5.4442400932312
Espanha,ESP,1330994811670.31,1243015667917.12,46773055.0,46484062.0,4.48113012313843,4.22544002532959
Sri Lanka,LKA,70447216891.3366,88012282205.8357,21169458.0,21209000.0,1.45342004299164,3.22929000854492
Suécia,SWE,549742183874.355,514218206628.325,9519374.0,9923085.0,7.5369701385498,7.61861991882324
Suíça,CHE,686420221557.99,687895460902.713,7996861.0,8373338.0,4.89862012863159,4.98163986206055
Tadjiquistão,TJK,7633036903.07634,6992416096.89018,8014084.0,8865631.0,4.01803016662598,5.73094129562378
Tanzânia,TZA,39650394362.9287,49774409374.4538,47374260.0,53824013.0,4.22964286804199,4.10196733474731
Tailândia,THA,397558325278.579,413366349747.508,69436098.0,70859841.0,3.59691834449768,3.76761746406555
Timor-Leste,TLS,1160555000.0,1640464600.0,1134885.0,1228312.0,7.16572332382202,6.0120096206665
