Pais_traduzido,Ano,num_atletas_unicos,idade_media,num_eventos,porcentagem_feminino,hhi_esportes,pct_jovens_menor_23,pib_dolar,pop_total,gastos_edu_pib_perc,pontuacao_total
Eslováquia,2012,47,27.4468085106383,52,44.680851063829785,0.16613852421910372,10.638297872340425,94.724394278052,5.407579,3.8590099811554,5.0
Eslováquia,2016,51,28.235294117647058,49,37.254901960784316,0.17954632833525566,17.647058823529413,90.34717322863561,5.430798,3.90078997612,10.0
Eslovênia,2012,65,26.6,68,56.92307692307692,0.11431952662721899,26.153846153846157,46.1670539543367,2.057159,5.62023019790649,7.0
Eslovênia,2016,63,27.03174603174603,45,38.095238095238095,0.1519274376417233,25.396825396825395,44.2906858240682,2.065042,4.79266977310181,8.0
Espanha,2012,277,27.057761732851986,135,39.35018050541516,0.0722673304747879,22.382671480144403,1330.9948116703101,46.773055,4.48113012313843,33.0
Espanha,2016,306,27.813725490196077,146,46.73202614379085,0.0727925156990901,16.013071895424837,1243.01566791712,46.484062,4.22544002532959,35.0
Estados Unidos,2012,529,27.092627599243855,245,50.661625708884685,0.0877678889284443,20.415879017013232,16253.97,313.877662,6.25388622283936,223.0
Estados Unidos,2016,554,26.52707581227437,245,52.52707581227437,0.08345605963846786,21.48014440433213,18804.913,323.071755,4.78327989578247,250.0
Estônia,2012,32,27.03125,30,28.125,0.173828125,21.875,23.237406116398798,1.322696,4.71772003173828,3.0
Estônia,2016,46,27.5,31,39.130434782608695,0.1965973534971645,13.043478260869565,24.5610277877896,1.31579,5.15763998031616,1.0
Etiópia,2012,32,23.6875,14,46.875,0.8828125,46.875,43.3107214140829,95.798767,5.56678009033203,14.0
Etiópia,2016,36,23.25,16,52.77777777777778,0.8441358024691357,50.0,74.2967452078721,106.718162,5.06151390075684,12.0
Fiji,2012,9,25.11111111111111,9,33.33333333333333,0.18518518518518517,55.55555555555556,3.97202810447328,0.914918,4.46150588989258,0.0
Fiji,2016,47,25.5531914893617,10,27.659574468085108,0.3807152557718424,38.297872340425535,4.93021363435692,0.919166,4.83590269088745,3.0
Finlândia,2012,56,28.035714285714285,61,48.214285714285715,0.16198979591836735,14.285714285714285,257.443384492969,5.413971,7.14803981781006,4.0
Finlândia,2016,53,27.60377358490566,54,52.83018867924528,0.15272338910644356,18.867924528301888,238.777818792608,5.495303,6.85153007507324,1.0
França,2012,323,26.944272445820435,188,43.962848297213625,0.06568643426084789,18.26625386996904,2683.00709578723,65.657659,5.48835611343384,68.0
França,2016,391,27.194373401534527,202,42.45524296675192,0.05416631236059419,18.414322250639387,2470.40761977713,66.724104,5.40805816650391,80.0
Gabão,2012,21,21.857142857142858,7,9.523809523809524,0.5328798185941045,61.904761904761905,17.1704640160593,1.846889,3.01340007781982,2.0
Gabão,2016,6,26.5,6,33.33333333333333,0.2777777777777778,16.666666666666664,14.0238902653665,2.100306,2.66773080825806,0.0
Gana,2012,4,23.25,4,25.0,0.5,50.0,41.271701060954,26.734268,7.91913986206055,0.0
Gana,2016,8,24.625,7,62.5,0.59375,12.5,56.16492930487539,29.356742,3.45474433898926,0.0
Geórgia,2012,34,25.235294117647058,35,17.647058823529413,0.21799307958477512,32.35294117647059,16.8943920332256,3.728874,1.86033999919891,12.0
Geórgia,2016,40,25.75,40,25.0,0.15499999999999997,32.5,15.4445489019637,3.727505,3.52338004112244,12.0
Grécia,2012,98,27.091836734693878,76,33.6734693877551,0.11995002082465642,22.448979591836736,238.841140018233,11.045011,4.58220291137695,2.0
Grécia,2016,91,26.263736263736263,64,38.46153846153847,0.13488709093104698,21.978021978021978,193.09723900587,10.775971,4.01561069488525,13.0
Guatemala,2012,19,24.42105263157895,21,36.84210526315789,0.15235457063711913,36.84210526315789,49.593929487126296,15.089647,3.00524997711182,2.0
Guatemala,2016,21,25.952380952380953,19,28.57142857142857,0.22448979591836732,42.857142857142854,66.0534034690024,16.26876,2.94474005699158,0.0
Guiana,2012,5,24.6,5,40.0,0.52,40.0,4.06308853576331,0.746288,2.24131989479065,0.0
Guiana,2016,6,22.0,7,50.0,0.5555555555555556,66.66666666666666,4.48269733656174,0.763548,4.73775005340576,0.0
Guiné,2012,4,22.5,4,50.0,0.375,75.0,7.63804455684656,10.921581,1.83370995521545,0.0
Guiné,2016,5,19.8,5,60.0,0.3600000000000001,100.0,8.59595522249719,12.07303,2.54450011253357,0.0
Honduras,2012,24,22.458333333333332,9,12.5,0.4652777777777777,58.333333333333336,18.5285543975695,8.715076,6.29972791671753,0.0
Honduras,2016,23,23.47826086956522,8,4.3478260869565215,0.500945179584121,60.86956521739131,21.7176049521835,9.41238,6.09509515762329,0.0
Hungria,2012,150,26.34,110,38.666666666666664,0.09810973202929697,22.0,128.814279315132,9.920362,4.14249992370605,38.0
